IPA	word
/æbˈdʌk.tɚ/	abductor
/ə.ˈkɒm.plɪʃt/	accomplished
/a.dʒa.sɑ̃/	adjacent
/ˈəbstrak(t)/	abstract
/ɑ.dreː.naːˈli.nə/	adrenaline
/əˈbɒm.əˌnəɪt/	abominate
/a.fiʁ.ma.tiv/	affirmative
/ˈa.kɾɨ/	acre
/ədˈvɛnt͡ʃəz/	adventures
/əˈkjuːt/	acute
/əˈkæd.ə.mi/	academy
[ˈabɨ]	aby
/a.bɛ.ʁa.sjɔ̃/	aberration
/ə.ˈkaʊn.tə.bəl/	accountable
/akˈsɛnt/	accent
/ˌæk.əˈdi.mi.ə/	academia
/əbˈstɹuːs.li/	abstrusely
/ək.ˌsɛl.ə.ˈɹeɪ.ʃən/	acceleration
/akˈtor/	actor
/eɪ.ki/	achy
/əˈbɛts/	abets
/əˈbeɪ.ənts/	abeyance
/ək.siˈden/	accident
/ˌæk.jʊ.ˈzeɪ.ʃən/	accusation
/əˈtʃiːv/	achieve
/æbˈdɑm.ə.nl̩/	abdominal
/ˈɑpˌzaɪ.lɚ/	abseiler
/ˈæk.ʃənz/	actions
/ædˈhiɹ/	adhere
/ə.ˈkɒm.ə.ˌdeɪ.tɪŋ/	accommodating
/ˈæ.kju.ˌpʌŋk.t͡ʃɝ/	acupuncture
/ˈæktʃu.eɪt/	actuate
/abˈdoː.men/	abdomen
/ˌæksəˈdɛnt(ə)li/	accidentally
/æd.ˈmaɪ.ɚ.ɚz/	admirers
/æˈdɹiːnəl/	adrenal
/əkˈsɛptɪŋ/	accepting
/əˈbʌt/	abut
/ˌæbˈstɹækt/	abstract
/əˈbɹeɪ.ʒn̩/	abrasion
/əbˈstɹæk.ʃn̩/	abstraction
/ˈækˌsɛs/	access
/a.fly/	afflux
/am.mi.siˈons/	admissions
/ˌæ.dʒɛkˈtaɪ.vəl/	adjectival
/əˌkɹɛd.ɪˈteɪ.ʃən/	accreditation
/əˈfɛə(ɹ)/	affair
/əpˈsen/	absent
/ækˈtɪ.vɪ.ti/	activity
[aboɾts]	aborts
/apˈskis.sa/	abscissa
/ad.miˈnis.ter/	administer
/ˈaktrəs/	actress
/ædˈhi.sɪv/	adhesive
/ad.mi.tɑ̃s/	admittance
/ædˌvaɪz.əˈbɪl.ə.ti/	advisability
/ədˈvɛn(t)ʃəɹɪz(ə)m/	adventurism
/ɑˈky.tə/	acute
/əˈdɔɹ/	adore
/ədˈmɪnɪstɹeɪtɚ/	administrator
/əˈbɪz.məl/	abysmal
/əkˈsɛptə(ɹ)/	acceptor
/aˈkaː.ki.a/	acacia
/əˈkadəmɪ/	academy
/aɡˈtoɾ/	actor
/a.dɔp.te/	adopter
/əˈkweɪntəns/	acquaintance
/əˈfɔɹd/	afford
/ˈæbˌstɹækt/	abstract
/ək.səpˈta.blə/	acceptable
/æk.tjuˈɛəɹ.i.əl/	actuarial
/apstiˈnɛnt/	abstinent
/a.di.sjõ/	addition
